nporpoise,df1,df2,Pillai,approxF,p
8,1,57,0.8645774347066145,3.1102969461168386,0.005033360525169413
3,1,52,0.8823999401660709,2.6935271404406134,0.02440578618319148
14,1,63,0.8924239333285533,5.317787140105581,1.9841244410200437e-5
15,1,64,0.883416176519469,5.051679556366559,2.4001634957513562e-5
7,1,56,0.941613664249681,7.443366951813148,1.6649325829960417e-5
10,1,59,0.8936099200328413,4.522739079375717,2.490680483368335e-4
13,1,62,0.8884659002762132,4.902072529189196,5.5758351763981364e-5
10,1,59,0.8926538257549689,4.477660761644215,2.6883323845468016e-4
11,1,60,0.879039889740093,4.099439515104182,4.097014869442858e-4
15,1,64,0.8875427309956556,5.261510965327156,1.6246854203420705e-5
8,1,57,0.8248893883242936,2.294944808529743,0.02747877943712544
17,1,66,0.8980809512605036,6.326354842848678,1.2902695253398727e-6
8,1,57,0.8965950780801988,4.224196703959014,6.97144792230205e-4
15,1,64,0.9140926041621261,7.0936275450774895,8.055511969681955e-7
7,1,56,0.84677382903098,2.550600121705112,0.017884369036449268
3,1,52,0.8558773615849322,2.1317818672648965,0.06388452535439126
9,1,58,0.87944249782606565,3.7409215071546598,0.0012585923828396942
14,1,63,0.8791978619533476,4.665384091375653,6.585786787121159e-5
12,1,61,0.861155447480488,3.6577661543690745,7.877607828668477e-4
9,1,58,0.8229735834135619,2.384038174764759,0.020249494727407065
8,1,57,0.8962992699318949,4.210757420878283,7.125003397936434e-4
9,1,58,0.9077521644298967,5.046339869113839,1.451946004621881e-4
6,1,55,0.8463773314076684,2.4015577384699394,0.027367384817325716
13,1,62,0.8651041752695445,3.94654023747319,3.509627853877469e-4
11,1,60,0.8949415922947351,4.805315994811068,1.1680410305519878e-4
3,1,52,0.8515687493848902,2.0594810369530046,0.07281000329299221
16,1,65,0.8763654014193737,4.90731976032819,2.406410105734235e-5
12,1,61,0.9022893028149206,5.445865680616264,2.9980989163000896e-5
10,1,59,0.8803064708263538,3.960207204778222,6.712584656697101e-4
16,1,65,0.8986717071193835,6.140015962087225,2.5058391782186758e-6
16,1,65,0.8852727630667818,5.342071857081082,1.0397651986793934e-5
13,1,62,0.8687607026084421,4.073642433797077,2.706256347738406e-4
11,1,60,0.8835904966712553,4.281743762631757,2.925255947987285e-4
2,1,51,0.7130555158659306,0.8283315592303084,0.6891942980160215
